holdout,policy_id,robust_score,mean_f1,mean_recall,mean_precision,valid_cluster_rate,mean_seed_jaccard
2WER,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.7299970037569079,0.37660301811245206,0.28888888888888886,0.6197377501725327,1.0,0.4514492753623189
2WER,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score,0.7121774909587745,0.31502233941258334,0.2111111111111111,0.6446608946608947,1.0,0.7121212121212122
2WER,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score_sqrt_size,0.7121774909587745,0.31502233941258334,0.2111111111111111,0.6446608946608947,1.0,0.7121212121212122
2WER,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score,0.8162129689006783,0.40150417008046047,0.28888888888888886,0.6651126651126651,1.0,0.626797385620915
2WER,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score_sqrt_size,0.8162129689006783,0.40150417008046047,0.28888888888888886,0.6651126651126651,1.0,0.626797385620915
2WER,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score,0.8162129689006783,0.40150417008046047,0.28888888888888886,0.6651126651126651,1.0,0.626797385620915
2WER,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score_sqrt_size,0.8162129689006783,0.40150417008046047,0.28888888888888886,0.6651126651126651,1.0,0.626797385620915
3FU8,fixed_0p4_eps5_ms3_min3_mean_score,0.2518730264339243,0.1433823529411765,0.15555555555555556,0.13312693498452013,1.0,0.2380952380952381
3FU8,fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.30409268395513117,0.14310904612628753,0.24444444444444444,0.11133665769383523,1.0,0.45436359089772443
3FU8,fixed_0p4_eps6_ms3_min3_mean_score,0.330862789511735,0.17583333333333334,0.4,0.12730015082956259,1.0,0.37606837606837606
3FU8,fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.330862789511735,0.17583333333333334,0.4,0.12730015082956259,1.0,0.37606837606837606
3FU8,fixed_0p4_eps7_ms3_min3_mean_score,0.330862789511735,0.17583333333333334,0.4,0.12730015082956259,1.0,0.37606837606837606
3FU8,fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.330862789511735,0.17583333333333334,0.4,0.12730015082956259,1.0,0.37606837606837606
3FU8,mcc_abs_eps5_ms3_min3_mean_score,0.2518730264339243,0.1433823529411765,0.15555555555555556,0.13312693498452013,1.0,0.2380952380952381
3FU8,mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,0.31655228881830316,0.14543153326904534,0.24444444444444444,0.11296626936254403,1.0,0.4860590257431931
3FU8,mcc_abs_eps6_ms3_min3_mean_score,0.2556763706132712,0.17418091168091168,0.37777777777777777,0.12697167755991284,1.0,0.07555555555555556
3FU8,mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,0.3423808743301329,0.17860887996430164,0.4,0.12915032679738564,1.0,0.3998527443105756
3FU8,mcc_abs_eps7_ms3_min3_mean_score,0.25470363390800016,0.17342358180965775,0.37777777777777777,0.12639297385620915,1.0,0.07555555555555556
3FU8,mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,0.34039468330394984,0.17784391534391536,0.4,0.1285819835180449,1.0,0.39577639751552796
3FU8,mcc_rank_count_eps5_ms3_min3_mean_score,0.380899794104285,0.15019762845849804,0.1111111111111111,0.23214285714285712,1.0,0.3333333333333333
3FU8,mcc_rank_count_eps5_ms3_min3_mean_score_sqrt_size,0.4744597098867655,0.16016830294530157,0.15555555555555556,0.17083333333333334,1.0,0.6569444444444444
3FU8,mcc_rank_count_eps6_ms3_min3_mean_score,0.2756398729211316,0.1329335332333833,0.1111111111111111,0.17261904761904762,1.0,0.0
3FU8,mcc_rank_count_eps6_ms3_min3_mean_score_sqrt_size,0.4744597098867655,0.16016830294530157,0.15555555555555556,0.17083333333333334,1.0,0.6569444444444444
3FU8,mcc_rank_count_eps7_ms3_min3_mean_score,0.2756398729211316,0.1329335332333833,0.1111111111111111,0.17261904761904762,1.0,0.0
3FU8,mcc_rank_count_eps7_ms3_min3_mean_score_sqrt_size,0.4744597098867655,0.16016830294530157,0.15555555555555556,0.17083333333333334,1.0,0.6569444444444444
3FU8,mcc_rank_fraction_eps5_ms3_min3_mean_score,0.3496689726537388,0.14472643896268186,0.15555555555555556,0.135577915376677,1.0,0.2222222222222222
3FU8,mcc_rank_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.44268524816182253,0.15779833438751845,0.24444444444444444,0.12422936077504287,1.0,0.5210303388494878
3FU8,mcc_rank_fraction_eps6_ms3_min3_mean_score,0.45974014447659095,0.18659812409812412,0.4,0.13510528100908434,1.0,0.4147515235025385
3FU8,mcc_rank_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.45974014447659095,0.18659812409812412,0.4,0.13510528100908434,1.0,0.4147515235025385
